"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5475","testTransfer","Banking-System PW Suite","Tue Apr 22 16:50:04 BDT 2025","passed","Tue Apr 22 16:50:10 BDT 2025","tests.HomepageTest","Banking-System Home Page Test_chrome","tests.HomepageTest","testTransfer"
"","230","testResetFunctionality","Banking-System PW Suite","Tue Apr 22 16:50:13 BDT 2025","passed","Tue Apr 22 16:50:13 BDT 2025","tests.HomepageTest","Banking-System Home Page Test_chrome","tests.HomepageTest","testResetFunctionality"
"","5418","automationTestingClicked","Banking-System PW Suite","Tue Apr 22 16:49:55 BDT 2025","passed","Tue Apr 22 16:50:01 BDT 2025","tests.SeleniumPracticePageTest","Banking-System Home Page Test_chrome","tests.SeleniumPracticePageTest","automationTestingClicked"
"","8","testwithdrawalHisytory","Banking-System PW Suite","Tue Apr 22 16:50:04 BDT 2025","passed","Tue Apr 22 16:50:04 BDT 2025","tests.HomepageTest","Banking-System Home Page Test_chrome","tests.HomepageTest","testwithdrawalHisytory"
"","4519","automationTestingClicked","Banking-System PW Suite","Tue Apr 22 16:49:47 BDT 2025","passed","Tue Apr 22 16:49:52 BDT 2025","tests.LoginPageTest","Banking-System Home Page Test_chrome","tests.LoginPageTest","automationTestingClicked"
"","170","testDeposit","Banking-System PW Suite","Tue Apr 22 16:50:01 BDT 2025","passed","Tue Apr 22 16:50:01 BDT 2025","tests.HomepageTest","Banking-System Home Page Test_chrome","tests.HomepageTest","testDeposit"
"","1114","titletestofloginpage","Banking-System PW Suite","Tue Apr 22 16:49:40 BDT 2025","passed","Tue Apr 22 16:49:41 BDT 2025","tests.LoginPageTest","Banking-System Home Page Test_chrome","tests.LoginPageTest","titletestofloginpage"
"","5752","loginbuttonclicked","Banking-System PW Suite","Tue Apr 22 16:49:42 BDT 2025","passed","Tue Apr 22 16:49:47 BDT 2025","tests.LoginPageTest","Banking-System Home Page Test_chrome","tests.LoginPageTest","loginbuttonclicked"
"","825","headingtest","Banking-System PW Suite","Tue Apr 22 16:49:41 BDT 2025","passed","Tue Apr 22 16:49:42 BDT 2025","tests.LoginPageTest","Banking-System Home Page Test_chrome","tests.LoginPageTest","headingtest"
"","3326","loginbuttonclicked","Banking-System PW Suite","Tue Apr 22 16:49:52 BDT 2025","passed","Tue Apr 22 16:49:55 BDT 2025","tests.WebAutomationTest","Banking-System Home Page Test_chrome","tests.WebAutomationTest","loginbuttonclicked"
"","15","testtransferHisytory","Banking-System PW Suite","Tue Apr 22 16:50:10 BDT 2025","passed","Tue Apr 22 16:50:10 BDT 2025","tests.HomepageTest","Banking-System Home Page Test_chrome","tests.HomepageTest","testtransferHisytory"
"","171","testwithdraw","Banking-System PW Suite","Tue Apr 22 16:50:04 BDT 2025","passed","Tue Apr 22 16:50:04 BDT 2025","tests.HomepageTest","Banking-System Home Page Test_chrome","tests.HomepageTest","testwithdraw"
"","39","headingtest","Banking-System PW Suite","Tue Apr 22 16:50:01 BDT 2025","passed","Tue Apr 22 16:50:01 BDT 2025","tests.HomepageTest","Banking-System Home Page Test_chrome","tests.HomepageTest","headingtest"
"","3200","testaddinterest","Banking-System PW Suite","Tue Apr 22 16:50:10 BDT 2025","passed","Tue Apr 22 16:50:13 BDT 2025","tests.HomepageTest","Banking-System Home Page Test_chrome","tests.HomepageTest","testaddinterest"
"","3100","testDepositEntryHisytory","Banking-System PW Suite","Tue Apr 22 16:50:01 BDT 2025","passed","Tue Apr 22 16:50:04 BDT 2025","tests.HomepageTest","Banking-System Home Page Test_chrome","tests.HomepageTest","testDepositEntryHisytory"
